Tweet,Sentimen,Emosi,Processed_Tweet
Jom amin kan ramai2.Ya Allah semoga COVID -19 lenyap sebelum Ramadhan Lindungilah kami semua Ya Allah . Assalam,1.0,-1,jom amin kan ramaiya allah semoga covid lenyap sebelum ramadhan lindungilah kami semua ya allah assalam
kemarin ortu gue minta cekkin tunjangan sertifikasi. lucky masih lumayan. kalau thr batal yaudah. asal emang digunakan buat covid biar kehidupan cepat normal. gedek lama lama gini terus.,1.0,1,kemarin ortu gue minta cekkin tunjangan sertifikasi lucky masih lumayan kalau thr batal yaudah asal emang digunakan buat covid biar kehidupan cepat normal gedek lama lama gini terus
"Covid-19 Lari Kencang Memburu Mangsa, Adminstrasi PSBB Jalan di Tempat? -",-1.0,-2,covid lari kencang memburu mangsa adminstrasi psbb jalan di tempat
"Lagi, Tim Gugus Tugas Covid 19 Melakukan Penyemprotan di Kawasan Medan Bagian Utara",1.0,1,lagi tim gugus tugas covid melakukan penyemprotan di kawasan medan bagian utara
jujur sih udh gapernah ngikutin berita covid bikin pusingg,0.0,-2,jujur sih udh gapernah ngikutin berita covid bikin pusingg
"Heran dengan medsos dan media2 mainstream,, yg di angkat kok ojol doang ? Tu banyak yg lebih sengsara kayak buruh bangunan, buruh serabutan yg tanpa covid-19 aja hidupnya sudah kacau,,",1.0,-2,heran dengan medsos dan media mainstream yg di angkat kok ojol doang tu banyak yg lebih sengsara kayak buruh bangunan buruh serabutan yg tanpa covid aja hidupnya sudah kacau
"ASN, TNI, POLRI, pegawai BUMN dilarang mudik.Kudu manut, ora usah ngeyel. Ayo bersatu, semoga Covid 19 segera hilang.Jaga kebersihan, jaga kesehatan.",1.0,1,asn tni polri pegawai bumn dilarang mudikkudu manut ora usah ngeyel ayo bersatu semoga covid segera hilangjaga kebersihan jaga kesehatan
Kawasan Physical Distancing Dalam Upaya Pencegahan Covid 19,1.0,1,kawasan physical distancing dalam upaya pencegahan covid
mengalahkan covid.g,0.0,2,mengalahkan covidg
Dua warga Kabupaten Lampung Utara yang dinyatakan positif terpapar Covid-19 dikarantina di komplek Islamic Center Kotabumi.Menurut Plt Bupati Budi Utomo yang juga Ketua Tim Gugus Tugas Penanggulangan Covid-19,0.0,1,dua warga kabupaten lampung utara yang dinyatakan positif terpapar covid dikarantina di komplek islamic center kotabumimenurut plt bupati budi utomo yang juga ketua tim gugus tugas penanggulangan covid
"Camana nak cari rezeki lebih, adakah ada pekerja yg kena buang kerja dgan ekonomi kita yg terganggu sekarang ni disebabkan covid-19... bukannya sekarang masa nak bash atau kecam sana sini pasal isu menteri laa artis laa, kaum itu ini buat hal laa. ",0.0,-2,camana nak cari rezeki lebih adakah ada pekerja yg kena buang kerja dgan ekonomi kita yg terganggu sekarang ni disebabkan covid bukannya sekarang masa nak bash atau kecam sana sini pasal isu menteri laa artis laa kaum itu ini buat hal laa
"Presiden Tidak ada langkah serius hadapi pandemi Covid-19,akan menjadi bom waktu bagi semua orang indonesia tidak diyerima di dunia internasional .",-1.0,-2,presiden tidak ada langkah serius hadapi pandemi covidakan menjadi bom waktu bagi semua orang indonesia tidak diyerima di dunia internasional
"Yang nolak2 jenazah covid 19, apalagi kalo itu nakes, pada ga takut apa ya jenazah mereka ditolak bumi. Gapernah nonton sinetron hidayah apa gimana",0.0,-2,yang nolak jenazah covid apalagi kalo itu nakes pada ga takut apa ya jenazah mereka ditolak bumi gapernah nonton sinetron hidayah apa gimana
Posko Siaga Covid-19 Data Para Pemudik,1.0,1,posko siaga covid data para pemudik
"Planning buat liburan ke sabang batall, howalaahh covid covid",0.0,-2,planning buat liburan ke sabang batall howalaahh covid covid
"Bagi anda Korban PHK atau dirumahkan akibat penyebaran virus COVID-19, yuk daftarkan diri anda untuk mendapatkan Kartu PRA KERJA. Mudah koq",1.0,2,bagi anda korban phk atau dirumahkan akibat penyebaran virus covid yuk daftarkan diri anda untuk mendapatkan kartu pra kerja mudah koq
"bersama, bersatu lawan penyebaran virus Corona Covid-19, Jaga kesehatan, jauhi kerumunan, cuci tangan pakai sabun serta tetap ...Infolingga.",1.0,1,bersama bersatu lawan penyebaran virus corona covid jaga kesehatan jauhi kerumunan cuci tangan pakai sabun serta tetap infolingga
"Bencana Nasional Covid-19; Satu Warga Positif Corona, Pemprov NTT Koordinasi dengan Kemenkes |",1.0,-1,bencana nasional covid satu warga positif corona pemprov ntt koordinasi dengan kemenkes
"Hingga saat ini Korut mengklaim masih terbebas dari virus COVID-19. Padahal, dua negara yang mengapitnya, yakni Kosel dan China menjadi episentrum.",0.0,1,hingga saat ini korut mengklaim masih terbebas dari virus covid padahal dua negara yang mengapitnya yakni kosel dan china menjadi episentrum
"Kapolrestabes Semarang Bersama Forkopimda Kota Semarang Memberikan Himbauan Kepada Masyarakat untuk Memakai Masker, Jaga Kebersihan dan Tetap di rumah guna memutus mata rantai penyebaran virus corona atau covid 19.",1.0,1,kapolrestabes semarang bersama forkopimda kota semarang memberikan himbauan kepada masyarakat untuk memakai masker jaga kebersihan dan tetap di rumah guna memutus mata rantai penyebaran virus corona atau covid
Kalo ga covid hari ini tuh udah H-2 nangis di pojokan,0.0,-1,kalo ga covid hari ini tuh udah h nangis di pojokan
"Ketularan Covid-19 dari Pemudik Jakarta, Kota Kediri Tambah 1 Kasus Positif",0.0,-1,ketularan covid dari pemudik jakarta kota kediri tambah kasus positif
SIAPAPUN YANG BERPOLITIK DI TENGAH WABAH COVID 19 ITU TIDAK PEDULI RAKYAT!!!!,1.0,-2,siapapun yang berpolitik di tengah wabah covid itu tidak peduli rakyat
"bersama, bersatu melawan penyebaran virus Corona Covid-19 di Kabupaten Lingga, Jaga kesehatan, jauhi kerumunan, cuci tangan pakai sabun serta tetap ...Infolingga Info ",1.0,1,bersama bersatu melawan penyebaran virus corona covid di kabupaten lingga jaga kesehatan jauhi kerumunan cuci tangan pakai sabun serta tetap infolingga info
Banyak tanggal merah pas lagi wabah covid-19,0.0,2,banyak tanggal merah pas lagi wabah covid
Pejuang covid..,1.0,2,pejuang covid
"Gpp nyai mendingan gitu hibur diri daripada keluar rumah, tetap sehat nyai semoga Alloh melindungi dan menjauhkan wabah covid utk kita semua aamiin YRA",1.0,1,gpp nyai mendingan gitu hibur diri daripada keluar rumah tetap sehat nyai semoga alloh melindungi dan menjauhkan wabah covid utk kita semua aamiin yra
"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor?Kebayang ga sih klo kita sudah susah payah menangkap tikus sampai dapat banyak bgt -itupun blm semuanya-, eeehh... Tau2 mau dilepaskan. Kyk apa jadinya rumah kita? ",0.0,-2,lebih narapidana bebas di tengah wabah covid termasuk koruptorkebayang ga sih klo kita sudah susah payah menangkap tikus sampai dapat banyak bgt itupun blm semuanya eeehh tau mau dilepaskan kyk apa jadinya rumah kita
PHYSICAL DISTANCING MEMUTUS RANTAI PENYEBARAN COVID-19,1.0,2,physical distancing memutus rantai penyebaran covid
"Seram: Jatuh Tempo Massal Covid-19 di USA, Bagaimana dengan Indonesia? -",0.0,1,seram jatuh tempo massal covid di usa bagaimana dengan indonesia
Repotnya Sissy Priscillia Dampingi Anak Sekolah sambil Bekerja dari Rumah Selama Wabah Covid-19,0.0,-1,repotnya sissy priscillia dampingi anak sekolah sambil bekerja dari rumah selama wabah covid
"Tak Kenal Lelah, Tim Gugus Tugas Covid 19 Kembali Semprot Pemukiman Padat Penduduk di Belawan",1.0,1,tak kenal lelah tim gugus tugas covid kembali semprot pemukiman padat penduduk di belawan
"Begitu ntar bnyak yg kena covid si miskin yg dituduh bawa virus ya nasib jadi org miskin ky gw kuli proyek,sopir ambulans dan kang gali kubur bakal kena getahnya lindungi kami kaum Miskin ya Rabb..",1.0,-2,begitu ntar bnyak yg kena covid si miskin yg dituduh bawa virus ya nasib jadi org miskin ky gw kuli proyeksopir ambulans dan kang gali kubur bakal kena getahnya lindungi kami kaum miskin ya rabb
"Berapa banyak bahan kempen dia mahu padam da... Daripada release, padam... release, padam macam ni... lebih baik dok dendiam wat keje yg org tk nampak, takyah wat kempen langsung. Save wang kerajaan, boleh masuk tabung Covid-19 tolong rakyat.",0.0,-2,berapa banyak bahan kempen dia mahu padam da daripada release padam release padam macam ni lebih baik dok dendiam wat keje yg org tk nampak takyah wat kempen langsung save wang kerajaan boleh masuk tabung covid tolong rakyat
PANDUAN ISOLASI MANDIRI ANTISIPASI PENYEBARAN COVID-19,1.0,1,panduan isolasi mandiri antisipasi penyebaran covid
Betoi tu.zmn PKP ni kita spatut bantu nambah beban pulak...sb spesis ni la yg angkuh bodoh ni bertambah kes covid ni..,0.0,-2,betoi tuzmn pkp ni kita spatut bantu nambah beban pulaksb spesis ni la yg angkuh bodoh ni bertambah kes covid ni
Nih aku kasih Tips Cegah penyebaran Berita Hoax Covid-19 di WA.teliti dulu beritanya ya kak..Jangan asal teruskan..,1.0,-2,nih aku kasih tips cegah penyebaran berita hoax covid di wateliti dulu beritanya ya kakjangan asal teruskan
Surabaya  Babinsa Koramil Tenggilis mejoyo terus berupaya melaksanakan sosialisasi kepada warga masyarakatnya untuk meredam mewabahnya virus corona atau Covid 19.Kali ini Serma Siswono dan Sertu Supri Warsoyo,1.0,1,surabaya babinsa koramil tenggilis mejoyo terus berupaya melaksanakan sosialisasi kepada warga masyarakatnya untuk meredam mewabahnya virus corona atau covid kali ini serma siswono dan sertu supri warsoyo
"Virus corona tak mengenal usia, pangkat maupun jabatan. Mereka yang berada di keluarga kerajaan Saudi pun tertular Covid-19.",1.0,-1,virus corona tak mengenal usia pangkat maupun jabatan mereka yang berada di keluarga kerajaan saudi pun tertular covid
Asalamualaikum selamat pagi semua semogga hari ini lebih baik Dr hati2 sebelumnya semogga covid-19 cepat berlalu dan sebelum masuk bulan rohomadhon semgga tidak ada covid-19 lagi amin ya robal alamin.,1.0,-1,asalamualaikum selamat pagi semua semogga hari ini lebih baik dr hati sebelumnya semogga covid cepat berlalu dan sebelum masuk bulan rohomadhon semgga tidak ada covid lagi amin ya robal alamin
Mudah2an semua Covid p badan mu.,-1.0,-2,mudahan semua covid p badan mu
Mimpi semalam; PSBB bertahan hanya beberapa hari. Dibatalkan karena kasus covid datanya dibuat tampak sudah tidak bertambah. Tekanan berbagai pihak membuat pemerintah segera menjalankan kegiatan perekonomian seperti sedia kala. Ahli kesehatan dan tenaga medis hanya bisa pasrah,0.0,-1,mimpi semalam psbb bertahan hanya beberapa hari dibatalkan karena kasus covid datanya dibuat tampak sudah tidak bertambah tekanan berbagai pihak membuat pemerintah segera menjalankan kegiatan perekonomian seperti sedia kala ahli kesehatan dan tenaga medis hanya bisa pasrah
"1. Dampak Covid-19 terhadap Perekonomian Indonesia Jawab : kondisi sekarang ini akan berimbas pada menurunnya konsumsi rumah tangga,Lebih dari itu, investasi pun akan merosot tajam. Maka COVID-19, diprediksi investasi akan merosot ke level satu persen atau terburuk.",1.0,1,dampak covid terhadap perekonomian indonesia jawab kondisi sekarang ini akan berimbas pada menurunnya konsumsi rumah tanggalebih dari itu investasi pun akan merosot tajam maka covid diprediksi investasi akan merosot ke level satu persen atau terburuk
"Cegah Covid 19, di Area Physical Distancing",1.0,1,cegah covid di area physical distancing
"kalo perusahaan baru yang mau bikin eFin bagaimana min? Secara lagi ada wabah covid-19 ini, apa ke kantor pajak setempat atau secara online min? Trmksh",0.0,1,kalo perusahaan baru yang mau bikin efin bagaimana min secara lagi ada wabah covid ini apa ke kantor pajak setempat atau secara online min trmksh
Peta identifikasi sebaran covid-19 di Kota Serang update per hari ini. Berdasarkan postingan dinkeskotaserang pasien positif di Kota Serang bertambah sehingga total menjadi 2 orang.Hal-hal terkait pertanyaan,1.0,-1,peta identifikasi sebaran covid di kota serang update per hari ini berdasarkan postingan dinkeskotaserang pasien positif di kota serang bertambah sehingga total menjadi oranghalhal terkait pertanyaan
semenjak covid ni.....ramai ke pompuan yg gigih pakai make up keluar rumah...dengan mask lagi?,0.0,1,semenjak covid niramai ke pompuan yg gigih pakai make up keluar rumahdengan mask lagi
Klo sy lebih berduka dgn meninggalnya para petugas medis yg berjibaku mengamankan pasien dari covid 19.,1.0,-1,klo sy lebih berduka dgn meninggalnya para petugas medis yg berjibaku mengamankan pasien dari covid
"Selamat Pagi. Dapat kami informasikan, untuk Informasi lengkap jadwal perjalanan KRL mulai 10 April 2020, bisa di lihat pada website link berikut : Tks.",0.0,2,selamat pagi dapat kami informasikan untuk informasi lengkap jadwal perjalanan krl mulai april bisa di lihat pada website link berikut tks
Covid 19 menyebar ke binatang kah ? Semoga para ahli menelitinya,0.0,1,covid menyebar ke binatang kah semoga para ahli menelitinya
Semoga indonesia mampu menekan lonjakan pasien covid-19 di tengah tengah minimnya APD,1.0,1,semoga indonesia mampu menekan lonjakan pasien covid di tengah tengah minimnya apd
Kepastin ttg kapan miss Covid 19 pergi dari muka bumi,1.0,1,kepastin ttg kapan miss covid pergi dari muka bumi
JANGAN TULARKAN COVID-19 DI KAMPUNG HALAMAN,1.0,-2,jangan tularkan covid di kampung halaman
"Selama Pandemik COVID-19, Polri Ungkap Angka Kejahatan Menurun",1.0,2,selama pandemik covid polri ungkap angka kejahatan menurun
Mau kesana ngambil sendiri jadi ragu di tambah situasi saat ini yg mengharuskan stay at home karena Covid-19. Mohon untuk evaluasinya yaa.. soalnya batas konfirmasi produk dari Shopee nya tanggal 12 April ini.. Terima Kasih.,0.0,1,mau kesana ngambil sendiri jadi ragu di tambah situasi saat ini yg mengharuskan stay at home karena covid mohon untuk evaluasinya yaa soalnya batas konfirmasi produk dari shopee nya tanggal april ini terima kasih
Polres Trenggalek melakukan patroli untuk menghimbau masyarakat untuk jaga jarak. Karena masih saja ada warga yng suka nongkrong. ,1.0,1,polres trenggalek melakukan patroli untuk menghimbau masyarakat untuk jaga jarak karena masih saja ada warga yng suka nongkrong
"2 orang temenya Glenn jangan ikut nyusul dulu, biarkan disiksa dulu oleh virus corona(covid-19).",-1.0,-2,orang temenya glenn jangan ikut nyusul dulu biarkan disiksa dulu oleh virus coronacovid
Doa saya semoga dunia ini terbebas dari yg namanya virus corona (covid-19) agar dunia ini kembali sehat dan manusianya bisa lebih bersyukur kepada Allah SWT diberikan kesehatan dan kebahagiaan. Amin,1.0,-1,doa saya semoga dunia ini terbebas dari yg namanya virus corona covid agar dunia ini kembali sehat dan manusianya bisa lebih bersyukur kepada allah swt diberikan kesehatan dan kebahagiaan amin
Kampung panglime linting melakukan pencegahan covid 19( virus korona) bersama masyarakat,1.0,1,kampung panglime linting melakukan pencegahan covid virus korona bersama masyarakat
covid sialan emg,-1.0,-2,covid sialan emg
Ramuan empon empon buat jaga kesehatan dimasa virus covid Corona : jahe ( bagusnya jahe merah ) + temulawak + cengkeh + kunir/ kunyit + sereh + kayu manis + gula merah/ madu,1.0,1,ramuan empon empon buat jaga kesehatan dimasa virus covid corona jahe bagusnya jahe merah temulawak cengkeh kunir kunyit sereh kayu manis gula merah madu
"Pakai masker, mainkan yoyo mu . Potret ini di sd vita school. Dilakukan sebelum pandemi covid-19 . Tp budaya menggunakan masker sudah dilakukan .Contact Us :Cak Dolan : 085850080188",0.0,1,pakai masker mainkan yoyo mu potret ini di sd vita school dilakukan sebelum pandemi covid tp budaya menggunakan masker sudah dilakukan contact us cak dolan
"Tidak usah cuti laahh, kita mengejar ketertinggalan kemarin aja masih belum terkejar, belum.lagi Covid 19 tambah tertinggal lagi, jgn malah dijadikan modus...",1.0,-2,tidak usah cuti laahh kita mengejar ketertinggalan kemarin aja masih belum terkejar belumlagi covid tambah tertinggal lagi jgn malah dijadikan modus
Amit2 kalau kalian ntar yg pada nolak terus positif covid dan ngga ada yg mau ngerawat kalian kalian bisa apaa???,0.0,-2,amit kalau kalian ntar yg pada nolak terus positif covid dan ngga ada yg mau ngerawat kalian kalian bisa apaa
"Wahai seluruh perantau yg masih ada di Jakarta.Ingatlah bahwa kita semua adalah ODP COVID-19.Pikirkan baik-baik jika kalian ingin MEMAKSAKAN pulang kampung, apapun alasannya.Jangan sampai hal seperti di gambar ini kalian lakukan.",1.0,-2,wahai seluruh perantau yg masih ada di jakartaingatlah bahwa kita semua adalah odp covidpikirkan baikbaik jika kalian ingin memaksakan pulang kampung apapun alasannyajangan sampai hal seperti di gambar ini kalian lakukan
Nama virus ni covid la bukan convic bukan convin adoiii bebal,-1.0,-2,nama virus ni covid la bukan convic bukan convin adoiii bebal
"Cegah Virus Corona Covid-19, Srikandi Polres Pasuruan Bagikan Masker ke Masyarakat",1.0,1,cegah virus corona covid srikandi polres pasuruan bagikan masker ke masyarakat
"Unggal lilir ngaragap tarang ""Alhamdulillah heunteu panas, Efek covid",0.0,2,unggal lilir ngaragap tarang alhamdulillah heunteu panas efek covid
Aliansi Bali Lawan Covid-19 Siap Bersinergi Dengan Pemerintah Kota Denpasar Dalam Memutus Penyebaran Covid-19 via Mengungkap Fakta Meluruskan Sejarah,1.0,1,aliansi bali lawan covid siap bersinergi dengan pemerintah kota denpasar dalam memutus penyebaran covid via mengungkap fakta meluruskan sejarah
eh ini tl udah kaga sliweran berita covid. ud kelar kali ya apa gmna,0.0,2,eh ini tl udah kaga sliweran berita covid ud kelar kali ya apa gmna
3.315 Pekerja di Jatim Jadi Korban PHK Karena Covid-19 via,0.0,-1,pekerja di jatim jadi korban phk karena covid via
Buat masa ni lebih baik tumpukan pada mereka yang terkesan pada musim Covid-19 ni,0.0,1,buat masa ni lebih baik tumpukan pada mereka yang terkesan pada musim covid ni
"kemenkeuri Pemerintah siapkan kebijakan extraordinary untuk tangani Covid-19. Untuk itu, belanja negara meningkat untuk fasilitas dan pelayanan kesehatan, bantuan sosial, dan pemberian stimulus",1.0,2,kemenkeuri pemerintah siapkan kebijakan extraordinary untuk tangani covid untuk itu belanja negara meningkat untuk fasilitas dan pelayanan kesehatan bantuan sosial dan pemberian stimulus
Nunggu covid beres,0.0,1,nunggu covid beres
"suruh news anchor kalian pake masker lah, selain utk melawan covid 19 hal ini jg sbg cara meng edukasi msy yg ngeyel gak mau pakai masker!",1.0,-2,suruh news anchor kalian pake masker lah selain utk melawan covid hal ini jg sbg cara meng edukasi msy yg ngeyel gak mau pakai masker
"AWALNYA rezim jkw MEREMEHKAN/ MENUTUPI demi amankan turis, proyek2x, investor, TKA dari negara cina komunis ? tapi saat indonesia DISERANG penguasa gagap tidak bisa mencegah, mengendalikan lindungi rakyat dari tertular kematian",1.0,-2,awalnya rezim jkw meremehkan menutupi demi amankan turis proyekx investor tka dari negara cina komunis tapi saat indonesia diserang penguasa gagap tidak bisa mencegah mengendalikan lindungi rakyat dari tertular kematian
"Bantu Tenaga Medis Rawat Pasien COVID-19, Mata Garuda Sulsel Produksi APD",1.0,1,bantu tenaga medis rawat pasien covid mata garuda sulsel produksi apd
New post (COVID-19: Bisakah Obat Penghilang Gumpalan Membantu Menyelamatkan Nyawa Pasien dengan Ventilator?) has been published on Kafe Kepo -,0.0,1,new post covid bisakah obat penghilang gumpalan membantu menyelamatkan nyawa pasien dengan ventilator has been published on kafe kepo
Belanja Sayur Online Diserbu Warganet Saat Pandemi Covid 19,1.0,1,belanja sayur online diserbu warganet saat pandemi covid
Semoga covid 19 segera berakhir. Aamiin,1.0,-1,semoga covid segera berakhir aamiin
"Gubernur Gorontalo Rusli Habibie mengumumkan kasus positif pertama di Gorontalo, Kamis (9/4/2020) malam.Foto: Adiwinata Solihin",0.0,-1,gubernur gorontalo rusli habibie mengumumkan kasus positif pertama di gorontalo kamis malamfoto adiwinata solihin
Berita artis meninggal mungkin sengaja di besar2kan utk mengalihkan berita atas kelalaian pemerintah mengatasi wabah COVID 19...,-1.0,-2,berita artis meninggal mungkin sengaja di besarkan utk mengalihkan berita atas kelalaian pemerintah mengatasi wabah covid
"Dholat berjamaah dilarangNgopi2 diwarung dilarangPesta nikahan dilarang n dibubarinAda yg mati, yag ngelayat sampai penuh kok ngak dilarang n dibubarin???Virus covid-19 madih ada",-1.0,-2,dholat berjamaah dilarangngopi diwarung dilarangpesta nikahan dilarang n dibubarinada yg mati yag ngelayat sampai penuh kok ngak dilarang n dibubarinvirus covid madih ada
"KUMPULAN Poster Stay at Home untuk Edukasi Covid-19, Bagikan Lewat Facebook, WhatsApp dan Instagram via",0.0,1,kumpulan poster stay at home untuk edukasi covid bagikan lewat facebook whatsapp dan instagram via
Bayani akan yadda zaka/zaki gujewa coronavirus (covid-19),0.0,1,bayani akan yadda zakazaki gujewa coronavirus covid
Juara PUBG - Ned Brotherhood untuk Selangor Cybergames Stay Home Edition tahniah kepada pemenang. Nantikan Selangor Cyber Games 2020 yang akan berlangsung selepas kita berjaya lawan covid 19. Terima kasih juga yg menyumbang semasa kejohanan ini dengan RM36488 berjaya dikutip,0.0,2,juara pubg ned brotherhood untuk selangor cybergames stay home edition tahniah kepada pemenang nantikan selangor cyber games yang akan berlangsung selepas kita berjaya lawan covid terima kasih juga yg menyumbang semasa kejohanan ini dengan rm berjaya dikutip
Tim Pesisir Selatan Sisir 54 Warga Pernah Kontak Dua Pasien Covid-19,0.0,1,tim pesisir selatan sisir warga pernah kontak dua pasien covid
ARTIKEL : Covid-19 dan Kehidupan Sosial Bermasyarakat,1.0,1,artikel covid dan kehidupan sosial bermasyarakat
"ni... timbus je dgn salji, konfem virus Covid-19 tak serang dorang ",0.0,1,ni timbus je dgn salji konfem virus covid tak serang dorang
"Cegah Penyebaran Covid 19, Tim Satgas Periksa Setiap Kapal Yang Masuk",1.0,1,cegah penyebaran covid tim satgas periksa setiap kapal yang masuk
"Alhamdulillah semoga Abang Sehat selalu, semoga Indonesia cepat terbebas dari covid-19",1.0,2,alhamdulillah semoga abang sehat selalu semoga indonesia cepat terbebas dari covid
"Indonesia tegaskan perlunya DK PBB tunjukkan kesatuan dlm atasi dampak COVID-19 thdp perdamaian &amp; keamanan internasional. Perlu kerja sama global, solidaritas &amp; hindari diskriminasi serta stigmatisasi. ",1.0,1,indonesia tegaskan perlunya dk pbb tunjukkan kesatuan dlm atasi dampak covid thdp perdamaian amp keamanan internasional perlu kerja sama global solidaritas amp hindari diskriminasi serta stigmatisasi
"Untuk saat ini merekalah garda terdepan dalam menangani covid 19 ini , tunjukan rasa kemanusiaan berpikirlah dengan cerdas . ",1.0,-2,untuk saat ini merekalah garda terdepan dalam menangani covid ini tunjukan rasa kemanusiaan berpikirlah dengan cerdas
Perawat2 ini yg ngerawat pasien covid kalau mereka sampai terkena itu sudah resiko pekerjaan mereka.Nyawa mereka taruhkan demi kesembuhan kalian terus sekarang mau dimakamin di daerahnya malah kalian tolak?Hatinya nurani kalian tuh pada dimana sih?,1.0,-2,perawat ini yg ngerawat pasien covid kalau mereka sampai terkena itu sudah resiko pekerjaan merekanyawa mereka taruhkan demi kesembuhan kalian terus sekarang mau dimakamin di daerahnya malah kalian tolakhatinya nurani kalian tuh pada dimana sih
"Jasamu luar biasa, tenaga medis yg tlah gugur berjihad di tengah wabah covid 19",1.0,-1,jasamu luar biasa tenaga medis yg tlah gugur berjihad di tengah wabah covid
Covid menelanjangi dan mempertontonkan kepada kita bagaimana +62 ini diurus.,-1.0,-2,covid menelanjangi dan mempertontonkan kepada kita bagaimana ini diurus
"DPRD Kota Makassar info_dprd_kotamakassar , Pemerintah Makassar Realokasi (refocusing) Anggaran sebesar 190 Milyar, untuk penanganan dampak Pandemi COVID-19 di Kota Makassar. Ketua DPRD Kota",1.0,1,dprd kota makassar infodprdkotamakassar pemerintah makassar realokasi refocusing anggaran sebesar milyar untuk penanganan dampak pandemi covid di kota makassar ketua dprd kota
"Kesan Covid-19 merentas pelbagai lapisan iaitu perubatan, media dan ideologi politik. Kini kedengaran analisis geo-politik mengenai Covid-19 berlegar dalam media."" - Mohd Azmi Abdul Hamid ",-1.0,1,kesan covid merentas pelbagai lapisan iaitu perubatan media dan ideologi politik kini kedengaran analisis geopolitik mengenai covid berlegar dalam media mohd azmi abdul hamid
"Memperingati Milad Imam Mahdi afs, DPW ABI Sumsel dan DPD ABI Kab Probolinggo Giat Sosial Pencegahan Covid-19 lewat",1.0,1,memperingati milad imam mahdi afs dpw abi sumsel dan dpd abi kab probolinggo giat sosial pencegahan covid lewat
"Yah orang seperti anda ini yg kalau dimutasi menjadi virus yg lebih berbahaya dari sekedar covid 19.Yang kalau ngomong dikit2 ""obat sakit kepala itu Bodrex,pokoknya harus Bodrex..."" Padahal ko antokkan kepala kau ke batu itu pun sembuh pak Sampek sini paham anda??",0.0,-2,yah orang seperti anda ini yg kalau dimutasi menjadi virus yg lebih berbahaya dari sekedar covid yang kalau ngomong dikit obat sakit kepala itu bodrexpokoknya harus bodrex padahal ko antokkan kepala kau ke batu itu pun sembuh pak sampek sini paham anda
"Alasan kenapa ndak boleh lelarian, sepedaan, joging bareng di masa Pandemik COVID-19.",1.0,1,alasan kenapa ndak boleh lelarian sepedaan joging bareng di masa pandemik covid
"Usahakan jangan menghasut suasana seperti ini, apakah tugasmu hanya menghasut, seperti ustad ustad kadal gurun ??Kita sebagai warga dunia bukan hanya warga negara harus mendukung usaha menekan covid-19 atau minimal diam.",-1.0,-2,usahakan jangan menghasut suasana seperti ini apakah tugasmu hanya menghasut seperti ustad ustad kadal gurun kita sebagai warga dunia bukan hanya warga negara harus mendukung usaha menekan covid atau minimal diam
"30.000 Lebih Narapidana Bebas di Tengah Wabah Covid-19, Termasuk Koruptor??? | Serba-serbi MMC Pemerintah, melalui kemenkumham telah mengeluarkan dan membebaskan 30.432 narapidana dan Anak melalui program asimilasi dan integrasi berkenaan....",-1.0,1,lebih narapidana bebas di tengah wabah covid termasuk koruptor serbaserbi mmc pemerintah melalui kemenkumham telah mengeluarkan dan membebaskan narapidana dan anak melalui program asimilasi dan integrasi berkenaan
"Ni orng bagusnye disuru bantu dokter yg nanganin covid-19 tanpa apd, sensasi mele lo nesnes...",-1.0,-2,ni orng bagusnye disuru bantu dokter yg nanganin covid tanpa apd sensasi mele lo nesnes
Tiga daerah di Papua Barat zona hijau dari COVID-19,0.0,2,tiga daerah di papua barat zona hijau dari covid
Semoga covid 19 cepat berlalu,1.0,-1,semoga covid cepat berlalu
Terapkan dan Biasakan Jaga Jarak untuk Cegah Merebaknya Covid-19,1.0,1,terapkan dan biasakan jaga jarak untuk cegah merebaknya covid
"Walau sudah 2x belum salat Jumat, Insha Allah tidak mengurangi yang saya rasakan bersama keluarga dalam melawan covid 19",1.0,-1,walau sudah x belum salat jumat insha allah tidak mengurangi yang saya rasakan bersama keluarga dalam melawan covid
Adakah website/portal berita/media yang memuat timeline kebijakan pemerintah terkait covid?,0.0,1,adakah websiteportal beritamedia yang memuat timeline kebijakan pemerintah terkait covid
"Cegah Pagebluk COVID-19, Polri Janji Penindakan Hukum Jalan Terakhir",1.0,1,cegah pagebluk covid polri janji penindakan hukum jalan terakhir
Salah satu penyebab angka kematian karena covid-19 tinggi adalah kemungkinan ada yang bukan meninggal karena covid-19 dinyatakan meninggalnya karena covid-19 karena sakitnya saat covid-19 lagi merebak.,0.0,1,salah satu penyebab angka kematian karena covid tinggi adalah kemungkinan ada yang bukan meninggal karena covid dinyatakan meninggalnya karena covid karena sakitnya saat covid lagi merebak
Harusnya hari ini aku ke jogja ngajak ibu jalan2 biar refreshing udh ngerencanain ini dari thn lalup boro2 jalan2 di jogja..diskitar kediri aja gabisa. Please covid go away!! ,0.0,-1,harusnya hari ini aku ke jogja ngajak ibu jalan biar refreshing udh ngerencanain ini dari thn lalup boro jalan di jogjadiskitar kediri aja gabisa please covid go away
"Semenjak ada covid, jam tidur udah kek bukan manusia normal.",0.0,-1,semenjak ada covid jam tidur udah kek bukan manusia normal
